Name,Habitat/Ecosystem,Feeding_Habits,Conservation_Status
American Lobster,Rocky reefs,Foraging predator,Not listed
American Plaice,Soft sandy or muddy bottoms,Ambush predator,Threatened
Atlantic Cod,Heterogeneous habitats,Active predator,Endangered
Atlantic Herring,Pelagic to coastal in cold to temperate waters,Filter feeder,Not listed
Atlantic Mackerel,Cold and temperate shelf areas,Filter feeder,Not listed
Atlantic Walrus,"Shallow (80m or less), open water areas with soft sea floors close to land or pack ice",Foraging predator,Special concern/data deficient
Atlantic Wolffish,Rocky reefs and hard bottoms,Aggressive predator,Special concern/data deficient
Beluga Whale,"Shallow, coastal waters and near ice edge",Foraging predator,Endangered/Threatened/Special Concern
Blue Shark,Pelagic/open ocean,Active predator,Special concern/data deficient
Bowhead Whale,"Offshore, near ice edge",Filter feeder,Special concern/data deficient
Bubblegum Coral,Hard or soft sediment in areas with strong currents,Filter feeder,Not listed
Canary Rockfish,Rocky bottoms with complex structures,Active predator,Threatened
Chinook salmon,"Freshwater rivers and streams, to open ocean environments",Active predator,Endangered
Dungeness Crab,Soft bottoms,Foraging omnivore,Not listed
Fin Whale,Coastal and offshore waters,Filter feeder,Threatened
Giant Pacific Octopus,Coastal intertidal areas to waters deeper than 100m,Predators,Not listed
Green Sea Turtle,"Sea grass beds, sandy beaches and open ocean",Herbivore,Endangered
Greenland Halibut/Turbot,Soft bottoms in arctic and temperate waters,Active predator,Not listed
Greenland shark,"Cold, deep waters of the Arctic and Atlantic Ocean",Opportunistic feeders,Threatened
Humpback Whale,High latitude summer feeding grounds; low latitude winter breeding grounds,Filter-feeder,Not available
Leatherback Sea Turtle,Coastal to open ocean; deep diver,Omnivore (mostly feed on jellyfish),Endangered
Lingcod,Rocky bottoms,Aggressive predator,Not listed
Narwhal,Sheltered deep-water coastal areas and deep fjords,Foraging predator,Special Concern
North Atlantic right whale,Coastal to open ocean,Filter feeder,Endangered
Northern Gannet,Nest on rocky shores & cliffs; feed in the ocean,Active (diving) predator,Not listed
Northern Shrimp,Soft bottoms with features that provide protection,Foraging omnivore,Not listed
Orca,Coastal to open ocean,Predator,Endangered/Threatened/Special Concern
Pacific Herring,Pelagic to coastal in cold to temperate waters,Filter feeder,Not listed
Pilot Whale,Coastal and offshore waters,Active predator,Not at Risk
Polar Bear,Ice edge and coastal regions,Aggressive predator,Special concern/data deficient
Pom-Pom Anemones,"Sandy, muddy, and gravel bottoms",Predator and scavenger,Not listed
Redfish (Acadian & Deepwater),Rocky bottoms,Active predator,Special concern/threatened/Endangered
Sea otter,"Shallow, coastal waters; often found in kelp canopies",Carnivores and foragers,Endangered/Threatened/Special Concern
Sea pens,Sandy or muddy bottoms,Filter feeder,Not listed
Sea Strawberry,Soft and hard substrates,Filter feeder,Not listed
Sockeye Salmon,Rivers and coastal seas,Active predator,Endangered
Thorny Skate,Soft bottoms,Active predator,Special concern/data deficient
Tufted Puffin,Open seas and coastal cliffs,Forager,Not at Risk
Yelloweye Rockfish,Rocky bottoms with complex structures,Active predator,Special Concern
